Algo,TFIDF,Stemming,Punc,Stopword,Time,Accuracy
BernoulliNB,0,Porter,Nothing,>3,5.90997525,87.59
BernoulliNB,0,Lemmatizer,Nothing,>2,2.36683504,87.53
ComplementNB,1,Snowball,Space,>3,4.38759923,87.4875
BernoulliNB,1,Porter,Nothing,>3,5.93049517,87.4525
ComplementNB,1,Lemmatizer,Space,>3,2.25439955,87.415
BernoulliNB,0,Nothing,Nothing,>3,1.21601155,87.385
RandomForestClassifier,0,Nothing,Space,>3,45.15400662,87.35
BernoulliNB,1,Snowball,Nothing,>3,4.39330389,87.34
RandomForestClassifier,1,Snowball,Nothing,>2,43.31557603,87.3025
RandomForestClassifier,1,Nothing,Nothing,>3,45.13906017,87.295
RandomForestClassifier,1,Lemmatizer,Nothing,>2,44.92373344,87.285
RandomForestClassifier,0,Porter,Space,>3,42.95268417,87.28
BernoulliNB,0,Snowball,Nothing,>3,4.32985109,87.2375
RandomForestClassifier,1,Nothing,Space,>2,39.38318627,87.23
RandomForestClassifier,0,Snowball,Nothing,>3,49.37984321,87.175
RandomForestClassifier,0,Snowball,Space,>3,41.56695921,87.1325
RandomForestClassifier,0,Nothing,Nothing,>3,52.68912733,87.11
RandomForestClassifier,1,Porter,Nothing,>3,44.65962123,87.1075
RandomForestClassifier,1,Nothing,Space,>3,39.47964514,87.1075
RandomForestClassifier,0,Porter,Space,>2,43.98410125,87.095
RandomForestClassifier,0,Snowball,Nothing,>2,50.20413137,87.0925
RandomForestClassifier,1,Snowball,Space,>2,36.6514246,87.0875
RandomForestClassifier,0,Porter,Nothing,>2,51.98640641,87.08
RandomForestClassifier,0,Nothing,Space,>2,44.88254443,87.0725
BernoulliNB,0,Lemmatizer,Nothing,>3,2.19677035,87.065
RandomForestClassifier,0,Porter,Nothing,>3,50.97359722,87.06
RandomForestClassifier,1,Snowball,Space,>3,36.6579783,87.0575
RandomForestClassifier,1,Nothing,Nothing,>2,45.0338955,87.055
RandomForestClassifier,1,Porter,Nothing,>2,45.32616368,87.05
BernoulliNB,1,Lemmatizer,Nothing,>3,2.23334133,87.04
RandomForestClassifier,1,Lemmatizer,Nothing,>3,44.91622477,87.0225
RandomForestClassifier,1,Porter,Space,>3,37.85440352,87.02
RandomForestClassifier,0,Lemmatizer,Nothing,>2,52.3388427,87.01
RandomForestClassifier,0,Nothing,Nothing,>2,52.8936426,87.0025
RandomForestClassifier,0,Snowball,Space,>2,41.65963189,87.0025
RandomForestClassifier,0,Lemmatizer,Space,>3,43.86584426,86.9825
RandomForestClassifier,0,Lemmatizer,Space,>2,44.69957476,86.98
BernoulliNB,1,Nothing,Nothing,>3,1.20187922,86.9725
RandomForestClassifier,1,Porter,Space,>2,38.79782037,86.935
RandomForestClassifier,1,Snowball,Nothing,>3,42.67893323,86.9275
RandomForestClassifier,1,Lemmatizer,Space,>3,39.31196966,86.8225
RandomForestClassifier,0,Lemmatizer,Nothing,>3,51.88336676,86.82
ComplementNB,1,Nothing,Nothing,>3,1.20234164,86.82
RandomForestClassifier,1,Lemmatizer,Space,>2,38.74800694,86.8125
ComplementNB,1,Snowball,Nothing,>2,4.88725569,86.74
ComplementNB,1,Snowball,Nothing,>3,4.40071807,86.66
ComplementNB,1,Nothing,Nothing,>2,1.22735555,86.61
ComplementNB,1,Lemmatizer,Nothing,>3,2.23214124,86.5725
ComplementNB,1,Lemmatizer,Nothing,>2,2.40947552,86.47
ComplementNB,1,Porter,Nothing,>3,5.93629013,86.3575
ComplementNB,1,Porter,Nothing,>2,6.63844347,86.0975
GradientBoostingClassifier,1,Snowball,Nothing,>2,23.21616446,84.695
GradientBoostingClassifier,1,Porter,Nothing,>2,24.92929744,84.54
GradientBoostingClassifier,0,Porter,Space,>2,13.42079284,84.4775
GradientBoostingClassifier,1,Snowball,Space,>3,18.86666832,84.2625
GradientBoostingClassifier,1,Nothing,Nothing,>2,20.99774506,84.1875
GradientBoostingClassifier,1,Nothing,Space,>2,19.5313848,84.175
GradientBoostingClassifier,0,Snowball,Nothing,>2,13.17613299,84.13
GradientBoostingClassifier,1,Snowball,Nothing,>3,20.53227725,84.125
GradientBoostingClassifier,1,Porter,Nothing,>3,23.03402778,84.12
GradientBoostingClassifier,0,Porter,Nothing,>2,14.94139239,84.0625
GradientBoostingClassifier,0,Snowball,Nothing,>3,13.35446199,84.02
GradientBoostingClassifier,0,Snowball,Space,>2,11.51855634,84.01
GradientBoostingClassifier,1,Nothing,Nothing,>3,18.65471384,83.995
GradientBoostingClassifier,1,Lemmatizer,Nothing,>2,21.39410361,83.975
GradientBoostingClassifier,0,Porter,Space,>3,12.01722268,83.9625
GradientBoostingClassifier,0,Nothing,Nothing,>2,11.26870989,83.96
GradientBoostingClassifier,1,Porter,Space,>3,20.63095656,83.9575
GradientBoostingClassifier,0,Snowball,Space,>3,10.49276447,83.92
GradientBoostingClassifier,1,Lemmatizer,Nothing,>3,19.1099769,83.9
GradientBoostingClassifier,1,Snowball,Space,>2,21.55740692,83.8825
GradientBoostingClassifier,1,Porter,Space,>2,23.1013879,83.87
GradientBoostingClassifier,1,Nothing,Space,>3,17.3598714,83.86
GradientBoostingClassifier,0,Lemmatizer,Space,>2,10.58816317,83.84
